아파트명,전용면적(㎡),서울시_가계대출,층,건축년도,구,동,도로명,세대별주차대수,좌표X,좌표Y,top_apt,국민평수,1번째_가까운_역_이름,1번째_가까운_역_호선,1번째_가까운_역_거리,5분이하_역_개수,5분초과_10분이하_역_개수,kb부동산지수,target
개포6차우성,79.97,404538.4,5,1987,강남구,개포동,언주로 3,0.9703703703703703,127.0568592,37.4762762,0,1,구룡,분당선,1187.672024995429,0,0,38.0,181838.13
개포더샵트리에,108.2017,406315.8,10,2021,강남구,개포동,개포로 311,1.3146551724137931,127.0572569,37.4848288,1,0,구룡,분당선,264.33049902883147,1,0,46.0,386439.4
개포우성3차,161.0,404538.4,15,1984,강남구,개포동,개포로 307,1.0345679012345679,127.0560194,37.4839751,0,0,구룡,분당선,405.0353642909504,0,1,38.0,309112.0
개포우성3차,133.46,406315.8,14,1984,강남구,개포동,개포로 307,1.0345679012345679,127.0560194,37.4839751,0,0,구룡,분당선,405.0353642909504,0,1,46.0,288277.0
개포우성3차,104.43,406315.8,6,1984,강남구,개포동,개포로 307,1.0345679012345679,127.0560194,37.4839751,0,0,구룡,분당선,405.0353642909504,0,1,46.0,232748.5
개포주공5단지,74.25,404538.4,8,1983,강남구,개포동,삼성로4길 17,0.6936170212765957,127.0685158,37.4875974,0,1,개포동,분당선,269.17232874865886,1,1,38.0,249159.43
개포주공6단지,83.21,404538.4,11,1983,강남구,개포동,개포로 516,1.0377358490566038,127.0716669,37.4888519,0,1,대모산입구,분당선,295.32999004568734,1,1,38.0,248857.0
개포주공6단지,73.02,406315.8,12,1983,강남구,개포동,개포로 516,1.0377358490566038,127.0716669,37.4888519,0,1,대모산입구,분당선,295.32999004568734,1,1,46.0,259410.0
개포주공6단지,53.06,406315.8,9,1983,강남구,개포동,개포로 516,1.0377358490566038,127.0716669,37.4888519,0,1,대모산입구,분당선,295.32999004568734,1,1,46.0,197398.0
래미안블레스티지,126.928,404538.4,26,2019,강남구,개포동,선릉로 8,1.6111394992335206,127.064435,37.4811997,1,0,구룡,분당선,797.2033577464614,0,0,38.0,406690.0
래미안블레스티지,84.94,404538.4,17,2019,강남구,개포동,선릉로 8,1.6111394992335206,127.064435,37.4811997,1,1,구룡,분당선,797.2033577464614,0,0,38.0,263780.0
래미안블레스티지,84.94,404538.4,5,2019,강남구,개포동,선릉로 8,1.6111394992335206,127.064435,37.4811997,1,1,구룡,분당선,797.2033577464614,0,0,38.0,263197.72
래미안블레스티지,84.943,404538.4,13,2019,강남구,개포동,선릉로 8,1.6111394992335206,127.064435,37.4811997,1,1,구룡,분당선,797.2033577464614,0,0,38.0,262915.0
래미안블레스티지,59.837,404538.4,12,2019,강남구,개포동,선릉로 8,1.6111394992335206,127.064435,37.4811997,1,1,구룡,분당선,797.2033577464614,0,0,38.0,209479.0
래미안블레스티지,84.94,404538.4,7,2019,강남구,개포동,선릉로 8,1.6111394992335206,127.064435,37.4811997,1,1,구룡,분당선,797.2033577464614,0,0,38.0,265117.5
래미안블레스티지,84.943,404538.4,4,2019,강남구,개포동,선릉로 8,1.6111394992335206,127.064435,37.4811997,1,1,구룡,분당선,797.2033577464614,0,0,38.0,260877.72
래미안블레스티지,59.897,404538.4,18,2019,강남구,개포동,선릉로 8,1.6111394992335206,127.064435,37.4811997,1,1,구룡,분당선,797.2033577464614,0,0,38.0,209223.0
래미안블레스티지,84.94,404538.4,27,2019,강남구,개포동,선릉로 8,1.6111394992335206,127.064435,37.4811997,1,1,구룡,분당선,797.2033577464614,0,0,38.0,262610.46
래미안블레스티지,84.94,404538.4,3,2019,강남구,개포동,선릉로 8,1.6111394992335206,127.064435,37.4811997,1,1,구룡,분당선,797.2033577464614,0,0,38.0,260522.72
래미안블레스티지,84.943,406315.8,18,2019,강남구,개포동,선릉로 8,1.6111394992335206,127.064435,37.4811997,1,1,구룡,분당선,797.2033577464614,0,0,46.0,275180.0
래미안블레스티지,113.808,406315.8,2,2019,강남구,개포동,선릉로 8,1.6111394992335206,127.064435,37.4811997,1,0,구룡,분당선,797.2033577464614,0,0,46.0,399308.7
래미안블레스티지,99.919,407049.7,17,2019,강남구,개포동,선릉로 8,1.6111394992335206,127.064435,37.4811997,1,0,구룡,분당선,797.2033577464614,0,0,41.4,343505.1
래미안블레스티지,49.909,407049.7,15,2019,강남구,개포동,선릉로 8,1.6111394992335206,127.064435,37.4811997,1,1,구룡,분당선,797.2033577464614,0,0,41.4,175980.0
동양파라곤,157.41,407049.7,2,2004,강남구,논현동,언주로130길 30,0.0,127.0381516,37.5147528,1,0,강남구청,7호선,384.318922493826,0,4,41.4,356761.5
마일스디오빌,36.29,406315.8,5,2004,강남구,논현동,학동로 165,0.7692307692307693,127.0289105,37.5138873,0,1,학동,7호선,245.11651570355772,1,0,46.0,37351.07666666667
마일스디오빌,36.29,407049.7,4,2004,강남구,논현동,학동로 165,0.7692307692307693,127.0289105,37.5138873,0,1,학동,7호선,245.11651570355772,1,0,41.4,37094.01666666666
대치삼성,59.88,404538.4,5,2000,강남구,대치동,도곡로78길 22,1.2895833333333333,127.0584123,37.4963884,0,1,대치,3호선,501.8806432763738,0,4,38.0,163403.3333333333
대치현대,85.0,404538.4,5,1999,강남구,대치동,삼성로64길 5,1.0984126984126985,127.0609864,37.5008352,0,1,대치,3호선,730.5702822018865,0,0,38.0,201919.0
대치현대,59.82,406315.8,1,1999,강남구,대치동,삼성로64길 5,1.0984126984126985,127.0609864,37.5008352,0,1,대치,3호선,730.5702822018865,0,0,46.0,157550.3333333333
대치현대,59.82,406315.8,22,1999,강남구,대치동,삼성로64길 5,1.0984126984126985,127.0609864,37.5008352,0,1,대치,3호선,730.5702822018865,0,0,46.0,158140.3333333333
대치현대,85.0,406315.8,20,1999,강남구,대치동,삼성로64길 5,1.0984126984126985,127.0609864,37.5008352,0,1,대치,3호선,730.5702822018865,0,0,46.0,209845.0
대치현대,85.0,406315.8,14,1999,강남구,대치동,삼성로64길 5,1.0984126984126985,127.0609864,37.5008352,0,1,대치,3호선,730.5702822018865,0,0,46.0,209445.0
대치현대,114.59,407049.7,7,1999,강남구,대치동,삼성로64길 5,1.0984126984126985,127.0609864,37.5008352,0,0,대치,3호선,730.5702822018865,0,0,41.4,259632.3
대치현대,85.0,407049.7,17,1999,강남구,대치동,삼성로64길 5,1.0984126984126985,127.0609864,37.5008352,0,1,대치,3호선,730.5702822018865,0,0,41.4,208765.0
래미안대치하이스턴,110.39,406315.8,8,1989,강남구,대치동,도곡로93길 12,1.3022598870056497,127.065462,37.5010467,0,0,대치,3호선,733.2994869104592,0,1,46.0,274596.0
래미안대치하이스턴,110.39,406315.8,15,1989,강남구,대치동,도곡로93길 12,1.3022598870056497,127.065462,37.5010467,0,0,대치,3호선,733.2994869104592,0,1,46.0,273475.5
테헤란로대우아이빌,59.83,407049.7,9,2004,강남구,대치동,테헤란로 428,0.0,127.0540217,37.5056902,0,1,선릉,분당선,469.2513623342264,0,2,41.4,130609.0
도곡렉슬,134.9023,404538.4,8,2006,강남구,도곡동,선릉로 221,1.4800133244503664,127.0505624,37.4935294,0,0,한티,분당선,363.5903290977232,0,3,38.0,314754.63666666666
도곡렉슬,84.9984,404538.4,4,2006,강남구,도곡동,선릉로 221,1.4800133244503664,127.0505624,37.4935294,0,1,한티,분당선,363.5903290977232,0,3,38.0,266680.0
도곡렉슬,134.9023,404538.4,10,2006,강남구,도곡동,선릉로 221,1.4800133244503664,127.0505624,37.4935294,0,0,한티,분당선,363.5903290977232,0,3,38.0,315589.63666666666
도곡렉슬,84.9984,404538.4,10,2006,강남구,도곡동,선릉로 221,1.4800133244503664,127.0505624,37.4935294,0,1,한티,분당선,363.5903290977232,0,3,38.0,268245.0
도곡렉슬,59.9772,404538.4,5,2006,강남구,도곡동,선릉로 221,1.4800133244503664,127.0505624,37.4935294,0,1,한티,분당선,363.5903290977232,0,3,38.0,193795.0
도곡렉슬,59.9772,404538.4,22,2006,강남구,도곡동,선릉로 221,1.4800133244503664,127.0505624,37.4935294,0,1,한티,분당선,363.5903290977232,0,3,38.0,199665.0
도곡렉슬,84.9231,404538.4,20,2006,강남구,도곡동,선릉로 221,1.4800133244503664,127.0505624,37.4935294,0,1,한티,분당선,363.5903290977232,0,3,38.0,263615.0
도곡렉슬,59.9818,404538.4,3,2006,강남구,도곡동,선릉로 221,1.4800133244503664,127.0505624,37.4935294,0,1,한티,분당선,363.5903290977232,0,3,38.0,201250.0
도곡렉슬,59.9937,404538.4,18,2006,강남구,도곡동,선릉로 221,1.4800133244503664,127.0505624,37.4935294,0,1,한티,분당선,363.5903290977232,0,3,38.0,201465.0
도곡렉슬,114.9931,404538.4,22,2006,강남구,도곡동,선릉로 221,1.4800133244503664,127.0505624,37.4935294,0,0,한티,분당선,363.5903290977232,0,3,38.0,282534.97
